ram_fit,storage_fit,cpu_cores_fit,cpu_clock_fit,tpm_fit,secure_boot_fit,compatible,asset_id,os_id
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,win10
2.0,2.0,1.0,2.0,0.15,0.15,0,PC-0001,win11
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,ubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,ubuntu2204
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,kubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,xubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,lubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,ubuntu-mate2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,ubuntu-budgie2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,ubuntu-studio2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,edubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,ubuntu-unity2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,linuxmint22
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,debian12
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,fedora42
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,opensuse-leap
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,opensuse-tw
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,arch
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,manjaro
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,endeavouros
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,garuda
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,cachyos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,gentoo
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,void
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,nixos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,alpine
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,solus
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,mx
