asset_id,block,lab,latitude,longitude,cpu_model,cpu_generation,cpu_cores,cpu_clock_ghz,ram_gb,storage_type,storage_gb,gpu,tpm_version,secure_boot_support,purchase_year,current_os,architecture,last_updated
PC-0001,Admin,Programming Lab,11.152094,79.490301,Intel Core i3-6100,6,2,3.7,8,SSD,256,AMD Radeon Vega,None,False,2018,Windows 11,x64,2026-06-01
PC-0002,Library,CAD Lab,11.145161,79.470796,Intel Core i3-6100,6,2,3.7,4,HDD,500,Integrated,None,False,2025,Windows 11,x64,2026-06-01
PC-0003,Block D,AI Lab,11.140208,79.474664,Intel Core i7-9700,9,8,3.0,4,SSD,256,NVIDIA GTX 1050,None,False,2018,Ubuntu 22.04,x64,2026-06-01
PC-0004,Block A,CAD Lab,11.154214,79.491892,Intel Core i3-6100,6,2,3.7,8,SSD,256,AMD Radeon Vega,2.0,True,2018,Ubuntu 24.04,x64,2026-06-01
PC-0005,Block D,Programming Lab,11.147321,79.491137,AMD Ryzen 3 3200G,3,4,3.6,32,SSD,256,Integrated,2.0,True,2020,Ubuntu 24.04,x64,2026-06-01
PC-0006,Block C,Programming Lab,11.149071,79.480945,Intel Core i5-7400,7,4,3.0,16,HDD,500,NVIDIA GTX 1050,1.2,False,2022,Ubuntu 22.04,x64,2026-06-01
PC-0007,Block B,Research Lab,11.146024,79.477344,Intel Core i5-8500,8,6,3.0,16,HDD,500,NVIDIA GTX 1050,2.0,True,2023,Windows 11,x64,2026-06-01
PC-0008,Block C,Research Lab,11.136871,79.470963,AMD Ryzen 5 5600G,5,6,3.9,32,SSD,128,NVIDIA GTX 1050,1.2,False,2023,Windows 10,x64,2026-06-01
PC-0009,Block C,Programming Lab,11.141869,79.497436,Intel Core i5-7400,7,4,3.0,8,SSD,256,NVIDIA GTX 1050,2.0,True,2019,Ubuntu 22.04,x64,2026-06-01
PC-0010,Block C,AI Lab,11.156935,79.481982,Intel Core i5-7400,7,4,3.0,32,SSD,256,Integrated,2.0,True,2019,Ubuntu 22.04,x64,2026-06-01
PC-0011,Library,CAD Lab,11.153762,79.482665,Intel Core i3-6100,6,2,3.7,4,HDD,500,Integrated,None,False,2023,Windows 11,x64,2026-06-01
PC-0012,Block D,Language Lab,11.150451,79.486109,Intel Core i7-9700,9,8,3.0,16,SSD,256,NVIDIA GTX 1050,None,False,2022,Windows 10,x64,2026-06-01
PC-0013,Block A,Network Lab,11.159157,79.492859,Intel Core i7-9700,9,8,3.0,16,SSD,128,AMD Radeon Vega,None,False,2018,Ubuntu 24.04,x64,2026-06-01
PC-0014,Admin,Network Lab,11.146181,79.493359,AMD Ryzen 5 5600G,5,6,3.9,8,SSD,128,AMD Radeon Vega,1.2,False,2017,Windows 11,x64,2026-06-01
PC-0015,Library,Network Lab,11.137184,79.477226,Intel Core i7-9700,9,8,3.0,4,HDD,500,AMD Radeon Vega,1.2,False,2018,Ubuntu 24.04,x64,2026-06-01
